Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,N Participants,Year,Country,distance_std,elevation_std
50K,52.0,1690,7.6774,4.9106,74,2020,MT,-0.20447486805261028,-0.44408785612740764
50K,52.2,1450,7.1513,4.4931,114,2021,MT,-0.19953898445260293,-0.5727733668939512
50K,52.0,2200,7.0949,4.2769,97,2022,MT,-0.20447486805261028,-0.17063114574850266
50K,52.0,2200,7.3861,4.6228,140,2023,MT,-0.20447486805261028,-0.17063114574850266
20K,28.2,1760,5.5877,3.2333,341,2017,AT,-0.7918450164534735,-0.40655458215383244
20K,28.5,1860,5.5563,3.2544,403,2018,AT,-0.7844411910534628,-0.35293561933443934
20K,28.0,1554,5.1264,3.2269,327,2023,AT,-0.7967809000534809,-0.5170096455617823
20K,15.1,980,2.3137,1.3428,466,2017,AT,-1.1151453922539487,-0.8247824921450989
20K,15.3,960,2.3239,1.4164,444,2018,AT,-1.1102095086539416,-0.8355062847089776
100M,161.8,8400,55.6789,47.9667,11,2017,CN,2.505325228351373,3.1537445490538722
100K,101.5,4802,19.0905,13.6667,21,2014,PT,1.0171563229491853,1.2245342668121069
100K,104.5,3790,21.7727,17.0264,37,2015,PT,1.0911945769492941,0.6819103630798482
100K,105.2,4800,21.9558,14.6497,45,2016,PT,1.1084701695493195,1.2234618875557188
100K,106.8,4790,20.7063,13.7317,53,2017,PT,1.1479572383493775,1.2180999912737795
100K,92.5,3760,15.4739,9.9139,70,2018,PT,0.7950415609488588,0.6658246742340302
100K,111.8,5000,20.2496,13.3061,76,2019,PT,1.271354328349559,1.3306998131945051
100K,98.2,4310,18.9552,13.2661,73,2021,PT,0.9357142435490656,0.9607289697406926
100K,99.8,5770,21.0076,14.4478,85,2022,PT,0.9752013123491236,1.7435658269038323
100K,99.8,5770,20.1115,13.4458,59,2023,PT,0.9752013123491236,1.7435658269038323
50K,54.8,1570,7.6002,6.0622,14,2017,CH,-0.13537249765250878,-0.5084306115106794
50K,51.3,2740,10.9755,6.5167,93,2017,CN,-0.22175046065263573,0.11891125347622028
50K,50.8,2960,11.9524,6.5683,273,2018,CN,-0.23409016965265386,0.23687297167888519
50K,51.3,2740,11.0487,8.5058,24,2017,CN,-0.22175046065263573,0.11891125347622028
20K,28.1,1730,7.1073,4.0256,158,2017,CN,-0.7943129582534771,-0.4226402709996504
50K,31.7,2330,9.1905,4.2194,471,2018,CN,-0.7054670534533467,-0.10092649408329157
20K,28.4,1860,6.9558,3.6272,356,2019,CN,-0.7869091328534664,-0.35293561933443934
50K,29.9,2060,7.483,3.9761,498,2020,CN,-0.7498900058534119,-0.24569769369565306
50K,56.0,3644,9.249,5.5781,165,2014,IT,-0.10575719605246517,0.6036266773635343
50K,53.0,4134,10.544,6.4706,231,2015,IT,-0.179795450052574,0.8663595951785606
50K,57.1,4000,10.599,6.3453,174,2016,IT,-0.07860983625242524,0.7945101850005738
50K,60.0,3900,11.3717,7.1378,127,2017,IT,-0.007039524052320073,0.7408912221811806
50K,53.8,3460,10.2365,6.6317,123,2018,IT,-0.16005191565254503,0.5049677857758509
50K,50.3,2940,9.1085,5.8256,45,2017,ES,-0.24642987865267202,0.22614917911500657
20K,23.7,1180,3.8682,2.3208,71,2019,ES,-0.9029023974536368,-0.7175445665063126
50K,36.3,1440,5.253,3.4303,156,2017,TR,-0.5919417306531799,-0.5781352631758905
50K,36.3,1440,5.3497,3.3969,223,2018,TR,-0.5919417306531799,-0.5781352631758905
50K,36.2,1480,5.2843,3.2603,292,2019,TR,-0.5944096724531833,-0.5566876780481332
50K,36.0,1640,5.2357,3.0433,418,2021,TR,-0.5993455560531906,-0.4708973375371042
100K,94.5,3400,14.5838,10.6181,33,2017,TR,0.8444003969489314,0.47279640808421497
50K,51.0,2380,10.3772,5.9303,80,2017,CN,-0.22915428605264654,-0.07411701267359501
50K,54.0,2520,11.2869,6.2764,109,2018,CN,-0.1551160320525377,0.0009495352735553826
50K,56.3,2883,11.82,7.2992,236,2019,CN,-0.09835337065245436,0.19558637030795248
50K,60.7,2550,13.1482,7.9342,291,2020,CN,0.010236068547705389,0.017035224119373325
100K,105.9,5260,26.1464,14.5694,87,2017,CN,1.125745762149345,1.4701091165249274
100K,102.9,4450,23.6108,14.5994,101,2018,CN,1.0517075081492362,1.0357955176878428
100M,173.5,2460,26.0238,17.07,110,2014,GB,2.794074418951797,-0.0312218424180805
100M,170.2,3490,25.5637,18.0333,137,2015,GB,2.712632339551677,0.5210534746216688
100M,170.2,3490,25.7373,16.7725,153,2016,GB,2.712632339551677,0.5210534746216688
100M,170.2,3490,25.9592,16.6586,147,2017,GB,2.712632339551677,0.5210534746216688
100M,168.0,3420,26.169,17.3561,151,2018,GB,2.6583376199515976,0.4835202006480936
100M,168.0,3420,25.5884,15.3114,188,2019,GB,2.6583376199515976,0.4835202006480936
100M,168.2,3440,26.6046,19.5575,107,2020,GB,2.6632735035516046,0.49424399321197227
100M,165.2,3130,26.4053,16.5797,111,2021,GB,2.589235249551496,0.3280252084718535
100M,165.2,3130,25.9576,16.8831,151,2022,GB,2.589235249551496,0.3280252084718535
100M,167.0,3350,25.4989,17.1222,135,2023,GB,2.6336582019515613,0.4459869266745184
20K,6.7,1500,2.1444,1.2,31,2017,PE,-1.3224525034542534,-0.5459638854842546
50K,43.0,4100,7.8891,5.1681,32,2018,ES,-0.42658963005293676,0.848129147819967
50K,81.7,1776,10.5884,7.0867,172,2014,GB,0.5285038465484672,-0.39797554810272956
50K,81.0,1495,10.603,6.7292,206,2015,GB,0.5112282539484417,-0.5486448336252243
100K,82.1,2064,10.4362,6.9592,199,2016,GB,0.5383756137484814,-0.24355293518287732
100K,82.0,2080,10.4877,6.6242,221,2017,GB,0.535907671948478,-0.2349739011317744
50K,82.2,1430,10.6582,6.7675,234,2018,GB,0.5408435555484853,-0.5834971594578298
50K,83.9,1560,10.4305,6.7989,236,2019,GB,0.5827985661485471,-0.5137925077926188
50K,81.5,1540,10.5743,6.6153,268,2021,GB,0.5235679629484599,-0.5245163003564973
50K,81.5,1540,10.8147,6.9189,235,2022,GB,0.5235679629484599,-0.5245163003564973
50K,81.5,1540,10.7235,6.5597,317,2023,GB,0.5235679629484599,-0.5245163003564973
50K,72.4,3430,9.861,5.9297,143,2018,AR,0.29898525914812984,0.48888209693003293
50K,72.5,3440,10.3014,3.8542,31,2019,AR,0.3014532009481334,0.49424399321197227
50K,101.0,4940,16.9696,8.8825,312,2018,AR,1.0048166139491672,1.2985284355028692
50K,100.2,4500,14.5149,7.8742,36,2019,AR,0.9850730795491383,1.0626049990975395
50K,48.9,2560,8.4988,5.0131,70,2017,CN,-0.28098106385272276,0.02239712040131264
